Date,Close,High,Low,Open,Volume
2008-04-18,5.701961994171143,5.787320702759121,5.411742254724959,5.753177089076877,9943400
2008-04-22,5.565388202667236,5.821464358947667,5.500516045298973,5.633675438169488,6488400
2008-04-23,5.292239189147949,5.5653867577711935,5.292239189147949,5.531243800119667,2655200
2008-04-24,5.292239189147949,5.44588477790292,5.121521795949628,5.217123444967764,1931000
2008-04-25,5.292239189147949,5.350283128884785,5.165908357255302,5.210294918560976,284400
2008-04-28,5.292239189147949,5.370769033722735,5.292239189147949,5.309310993591298,228000
2008-04-29,5.292239189147949,5.326382798034648,5.288824763135762,5.292239189147949,836800
2008-04-30,5.292239189147949,5.319553946010274,5.193223114117626,5.258095580261251,248000
2008-05-02,5.770249843597412,5.770249843597412,5.309312910879865,5.312727338125063,812400
2008-05-05,5.66440486907959,5.77024950248197,5.5483169545471585,5.77024950248197,171200
2008-05-06,5.565388202667236,5.664404629021967,5.565388202667236,5.664404629021967,52400
2008-05-07,5.565388202667236,5.579045910261823,5.500516045298973,5.527830809252805,84000
2008-05-08,5.599533557891846,5.616605697682377,5.514174812645825,5.531246952436356,87800
2008-05-09,5.582460403442383,5.770249326450226,5.565388268746447,5.565388268746447,98000
2008-05-12,5.766837120056152,5.766837120056152,5.572219268231505,5.650749164365029,75200
2008-05-13,5.766837120056152,5.766837120056152,5.572219268231505,5.650749164365029,75200
2008-05-14,5.923894882202148,6.026325078514166,5.800978125639483,5.800978125639483,477200
2008-05-15,6.04339599609375,6.162897650668316,5.879506803240449,5.9204792642625685,406800
2008-05-16,6.00925350189209,6.145827311909691,5.975109886578866,6.00925350189209,323400
2008-05-19,6.04339599609375,6.316543565457293,6.04339599609375,6.111682562817048,115600
2008-05-20,5.906822681427002,5.958038430235366,5.87950791930568,5.958038430235366,206800
2008-05-21,5.9034104347229,5.940967835343413,5.804393989370035,5.937553407789645,155600
2008-05-23,5.906822681427002,6.125341429632873,5.804392486280871,5.811221339620025,57000
2008-05-26,6.00925350189209,6.316544737240515,6.005839075237238,6.022910557276202,125200
2008-05-27,6.094613552093506,6.138999805877085,5.910238379679932,5.99559711107834,220600
2008-05-28,6.640908718109131,6.657980201721968,6.145827878512586,6.145827878512586,590600
2008-05-29,6.640908718109131,6.657980201721968,6.145827878512586,6.145827878512586,590600
2008-05-30,7.508151531219482,7.511565957530223,7.002828159463904,7.238418365023216,475800
2008-06-02,7.508151531219482,7.511565957530223,7.002828159463904,7.238418365023216,475800
2008-06-03,7.958845615386963,8.41636833453692,7.450107802560421,7.450107802560421,592800
2008-06-04,8.02371883392334,8.518799618212723,7.921288641218431,8.194436255921708,596400
2008-06-05,8.194437026977539,8.194437026977539,7.818858532994,7.883731341803468,313800
2008-06-06,8.327598571777344,8.501730481737335,8.177367656358754,8.194439144081386,525400
2008-06-09,8.399298667907715,8.467585257147462,7.716428868097907,8.262724838192831,309800
2008-06-10,8.02371883392334,8.399297292566807,7.859830265101373,8.399297292566807,276800
2008-06-11,7.853002071380615,8.023719507714977,7.853002071380615,7.955432272687097,40800
2008-06-12,7.818860530853272,8.0271360669024,7.716430302337427,7.853004157437057,136000
2008-06-13,7.849589824676514,7.853004252499776,7.685701196573043,7.853004252499776,37000
2008-06-16,7.716428279876709,7.853002099180608,7.545710842938,7.853002099180608,22000
2008-06-17,7.631069183349609,7.767642995887382,7.5525393225448045,7.682284281646861,280200
2008-06-18,7.170133113861084,7.76764420668284,6.931128416238217,7.631070372856378,229000
2008-06-19,7.101846218109131,7.204277086907174,6.948200891765228,7.204277086907174,412600
2008-06-20,6.93112850189209,7.03355936695432,6.828698288065278,6.996001317974628,167200
2008-06-23,6.91405725479126,6.9994159863318925,6.910642827381381,6.9994159863318925,27000
2008-06-24,6.726266384124756,6.931126760302969,6.487261743603169,6.931126760302969,201400
2008-06-25,6.702366828918457,6.828698028998502,6.692124198665611,6.825283601835756,138400
2008-06-26,6.657982349395752,6.862843475008888,6.657982349395752,6.7501699536069975,316800
2008-06-27,6.726266384124756,6.828696572213863,6.487261743603169,6.487261743603169,19800
2008-06-30,6.589692115783691,6.828696762982176,6.589692115783691,6.828696762982176,60200
2008-07-01,6.483846187591553,6.5384756985532135,6.316543228867074,6.5384756985532135,47000
2008-07-02,6.3711748123168945,6.760410367342478,6.371174812316894,6.487262723681604,278600
2008-07-03,6.060470104217529,6.5453077386043494,6.060470104217529,6.3506899295961645,203800
2008-07-04,6.145828723907471,6.145828723907471,5.9751112593544855,6.043398505669858,57600
2008-07-07,6.524820327758789,6.657979713636214,6.179971043929907,6.657979713636214,368400
2008-07-08,6.620420455932617,6.640907012488775,6.265328608350006,6.487261094493537,138800
2008-07-10,6.436049938201904,6.487265058415966,6.316547556878703,6.316547556878703,159400
2008-07-11,6.7569966316223145,6.756996631622314,6.384832557909439,6.521406380548257,138000
2008-07-14,6.487264633178711,6.7569985805197295,6.487264633178711,6.7569985805197295,396600
2008-07-15,6.316545486450195,6.48726293202993,6.231186763660328,6.48726293202993,213000
2008-07-16,6.316545486450195,6.48726293202993,6.214115279596503,6.316545486450195,95200
2008-07-17,6.214116096496582,6.350689940667125,5.98876909080632,6.350689940667125,159800
2008-07-18,6.145828723907471,6.316546188460457,5.9751112593544855,6.316546188460457,52600
2008-07-21,6.183384895324707,6.244843268083765,6.0604681498065895,6.145826856141894,27000
2008-07-22,6.197042942047119,6.244844268089428,6.1458278402917585,6.17997145854045,87200
2008-07-23,6.282402515411377,6.282402515411377,6.0775414293276,6.111685052214137,330200
2008-07-24,6.453118324279785,6.453118324279785,6.203871048205637,6.282400904847858,64200
2008-07-25,6.418975353240967,6.487262588349305,6.282401534259628,6.453118970795136,99200
2008-07-28,6.640908718109131,6.640908718109131,6.418975523730114,6.521406379113204,262200
2008-07-29,6.528234958648682,6.879912455679635,6.487262487970586,6.797968165558772,166000
2008-07-30,6.453118324279785,6.756995773708601,6.418974710146345,6.487261938413225,47000
2008-07-31,6.418975353240967,6.453118970795136,6.1765569059535075,6.4360474876357205,197200
2008-08-01,6.381418228149414,6.415561847138079,6.214115211463858,6.384832655171817,25600
2008-08-04,6.282402515411377,6.313131710885716,6.14924310251287,6.313131710885716,19800
2008-08-05,6.347272872924805,6.483846660285642,6.282400079715211,6.483846660285642,100800
2008-08-06,6.350691318511963,6.401906439783108,6.128758692179935,6.401906439783108,314800
2008-08-07,6.350691318511963,6.350691318511963,6.28240405599337,6.350691318511963,3200
2008-08-08,6.347272872924805,6.381416482573811,6.162897771561283,6.162897771561283,5800
2008-08-11,6.128757476806641,6.350690059127964,5.940967867738236,6.350690059127964,96200
2008-08-12,5.531246662139893,6.3131323889152435,5.445887595756,6.3131323889152435,391000
2008-08-13,5.435644626617432,5.804394359903028,5.435644626617432,5.6678205052112345,76400
2008-08-14,5.131764888763428,5.531243951443441,5.131764888763428,5.40149836437144,233800
2008-08-15,5.377597332000732,5.377597332000732,4.933732090267638,5.2922386441911975,72800
2008-08-18,5.32296895980835,5.462957185590281,5.2239528738442305,5.462957185590281,81000
2008-08-19,5.394670009613037,5.462956905812168,5.172737189943854,5.172737189943854,18600
2008-08-20,5.4629597663879395,5.534660800728716,5.3946728344316455,5.4629597663879395,26200
2008-08-21,5.292239189147949,5.623430697508029,5.292239189147949,5.623430697508029,39200
2008-08-22,5.411742687225342,5.592702747103414,5.411742687225342,5.425400068666196,139000
2008-08-25,5.360528469085693,5.4595445882215365,5.343456657037914,5.394672093181252,43800
2008-08-26,5.456130027770996,5.462958882670842,5.456130027770996,5.459544455220919,28800
2008-08-27,5.4629597663879395,5.548318512737751,5.445887951994422,5.4629597663879395,115600
2008-08-28,5.459544658660889,5.531246335310208,5.459544658660889,5.531246335310208,14400
2008-08-29,5.411742687225342,5.428814169813165,5.32638397181559,5.32638397181559,21200
2008-09-01,5.4629597663879395,5.4629597663879395,5.36052920564461,5.36052920564461,1000
2008-09-02,5.408327102661133,5.49710022583121,5.319553979491055,5.3605261150424175,74000
2008-09-03,5.285411834716797,5.428814511685176,5.189810158610437,5.428814511685176,53000
2008-09-04,5.053236961364746,5.37760007539182,4.8825194986538945,5.37760007539182,53800
2008-09-05,5.053236961364746,5.121523881325542,4.78008895590384,5.121523881325542,63400
2008-09-08,5.2034687995910645,5.258098342009172,5.087380859143708,5.258098342009172,94000
2008-09-09,5.155667304992676,5.206882411580814,4.984949848875272,5.1215236835221125,204000
2008-09-10,5.3093132972717285,5.316141826641376,5.087380394447952,5.087380394447952,74000
2008-09-11,5.425400257110596,5.425400257110596,5.172738203252413,5.275168730425442,56200
2008-09-12,5.531246662139893,5.599533264011496,5.428815782479222,5.462959409032779,561800
2008-09-15,5.070306777954102,5.398084190426535,5.070306777954102,5.398084190426535,8000
2008-09-16,4.780086994171143,5.070306691921425,4.780086994171143,5.070306691921425,348200
2008-09-17,4.541083812713623,5.002020689466831,4.541083812713623,5.002020689466831,331000
2008-09-18,4.541083812713623,4.773259301696713,4.302079470069256,4.643514338309113,559000
2008-09-19,4.745944023132324,4.865446344291806,4.558155126478323,4.558155126478323,341600
2008-09-22,4.711802959442139,4.916663759476625,4.558157278011829,4.916663759476625,174200
2008-09-23,4.45572566986084,4.742531048241614,4.45572566986084,4.742531048241614,46200
2008-09-24,4.489868640899658,4.609370981785617,4.4762112584227784,4.609370981785617,197200
2008-09-25,4.725458145141602,4.725458145141602,4.455724639849558,4.510354161080712,138400
2008-09-26,4.6776580810546875,4.7766741893724385,4.602542311621937,4.602542311621937,110800
2008-09-29,4.370367050170898,4.660586537401071,4.302080131153076,4.646929153597506,161000
2008-09-30,4.42841100692749,4.42841100692749,4.267936503232971,4.370367044434104,160200
2008-10-01,4.489868640899658,4.489868640899658,4.230378373838944,4.442067965039421,189400
2008-10-02,4.0972185134887695,4.3703664795115555,4.063074895629295,4.3703664795115555,245200
2008-10-03,4.063075065612793,4.319151233419087,3.994788152654652,4.100633111953035,348400
2008-10-06,3.585066556930542,4.028932005293102,3.4826360187518426,4.028932005293102,249400
2008-10-07,3.7216391563415527,3.8206552344279214,3.61920897775521,3.61920897775521,146200
2008-10-08,3.653353214263916,3.653353214263916,3.4484924780800883,3.5509226833631615,237200
2008-10-09,3.7216391563415527,3.7728545712523207,3.6704240670483816,3.6874958720186375,41600
2008-10-10,3.4484925270080566,3.619209972392264,3.414348907684141,3.619209972392264,95800
2008-10-13,3.960646629333496,3.960646629333496,3.4997091910030367,3.4997091910030367,185600
2008-10-14,4.028933048248291,4.220136465101469,4.028933048248291,4.097219982838712,33200
2008-10-15,3.5509231090545654,3.946987897726327,3.499708000273265,3.946987897726327,307000
2008-10-16,3.4826345443725586,3.643108975394806,3.107056497542542,3.5884794649917175,498200
2008-10-17,3.407520532608032,3.5167799344338464,3.380205763556011,3.5167799344338464,376800
2008-10-20,3.585066556930542,3.6499390465936856,3.448492723104079,3.448492723104079,450200
2008-10-21,3.687495708465576,3.755782599700246,3.4484914263354405,3.5850652088047803,260600
2008-10-22,3.585066556930542,3.670425284476507,3.5509229356650738,3.667010857226419,155400
2008-10-23,3.5372653007507324,3.615795493830016,3.4177632860546825,3.615795493830016,617400
2008-10-24,3.424591541290283,3.516779109427742,3.4075197332332365,3.431420394760164,297400
2008-10-27,3.513364315032959,3.516778741410593,3.311917717399249,3.428005609297836,76800
2008-10-28,3.6362829208374023,3.6362829208374023,3.5304382444194173,3.585067796843902,18400
2008-10-29,3.687495708465576,3.687495708465576,3.550921600378654,3.636280295826387,58600
